id,project_name,url,dependency_count,licenses_count,critical_cves_count,high_cves_count,medium_cves_count,low_cves_count,sbomqs_rating,format,format_version,origin,tool,creation_time
107,arangodb:latest,https://hub.docker.com/_/arangodb,645,20,0,0,0,4,8.34,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:17:51Z
108,arangodb,https://hub.docker.com/_/arangodb,381,20,0,0,0,4,8.39,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:17:45Z
109,rust,https://hub.docker.com/_/rust,417,269,0,0,0,0,8.58,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:18:30Z
110,rust:latest,https://hub.docker.com/_/rust,415,286,0,0,0,0,8.33,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:18:31Z
111,rust,https://hub.docker.com/_/rust,550,139,0,0,0,0,7.53,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:18:15Z
112,owncloud,https://hub.docker.com/_/owncloud,271,134,0,0,0,17,8.56,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:18:52Z
113,owncloud:latest,https://hub.docker.com/_/owncloud,206,132,0,0,0,0,8.36,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:18:53Z
114,owncloud,https://hub.docker.com/_/owncloud,335,76,0,0,0,17,7.6,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:18:46Z
115,erlang,https://hub.docker.com/_/erlang,581,278,0,0,0,0,8.57,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:36:13Z
116,erlang:latest,https://hub.docker.com/_/erlang,581,283,0,0,0,0,8.37,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:36:13Z
117,erlang,https://hub.docker.com/_/erlang,805,181,0,0,0,0,7.53,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:35:56Z
118,kong,https://hub.docker.com/_/kong,128,112,0,0,0,0,8.62,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:36:27Z
119,kong:latest,https://hub.docker.com/_/kong,127,108,0,0,0,0,8.46,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:36:27Z
120,kong,https://hub.docker.com/_/kong,176,63,0,0,0,0,7.49,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:36:23Z
121,chronograf,https://hub.docker.com/_/chronograf,236,134,0,0,0,6,8.41,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:36:39Z
